run_id,issue_key,sub_question,left,right,winner,positional_inconsistent,ab_winner_side,ba_winner_side,judge_model,judge_temperature,judged_at,winner_actionability,inconsistent_actionability,winner_completeness,inconsistent_completeness,winner_project_specificity,inconsistent_project_specificity,winner_granularity,inconsistent_granularity,winner_clarity,inconsistent_clarity
20260814T033139Z,PIG-626,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:19:27.870929+00:00,full_rag,False,full_rag,False,full_rag,False,,True,full_rag,False
20260814T033139Z,PIG-627,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:17:17.502201+00:00,full_rag,False,full_rag,False,full_rag,False,,True,full_rag,False
20260814T033139Z,PIG-692,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:12:18.999652+00:00,full_rag,False,full_rag,False,full_rag,False,full_rag,False,,True
20260814T033139Z,PIG-704,SQ1,full_rag_minus_codebase_summaries,full_rag,,True,full_rag_minus_codebase_summaries,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:13:52.928659+00:00,,True,full_rag_minus_codebase_summaries,False,full_rag,False,,True,full_rag_minus_codebase_summaries,False
20260814T033139Z,PIG-712,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:16:04.068523+00:00,full_rag,False,full_rag,False,full_rag_minus_codebase_summaries,False,full_rag,False,full_rag,False
20260814T033139Z,PIG-713,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:14:37.140204+00:00,full_rag,False,,True,full_rag,False,full_rag,False,full_rag,False
20260814T033139Z,PIG-732,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-14T04:16:40.327800+00:00,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,,True,full_rag_minus_codebase_summaries,False
20260814T033139Z,PIG-741,SQ1,full_rag_minus_codebase_summaries,full_rag,,True,full_rag_minus_codebase_summaries,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:18:42.293559+00:00,full_rag,False,,True,full_rag,False,,True,,True
20260814T033139Z,PIG-745,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-14T04:15:26.610546+00:00,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False
20260814T033139Z,PIG-753,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-14T04:21:24.395999+00:00,full_rag_minus_codebase_summaries,False,,True,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False
20260814T033139Z,PIG-781,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-14T04:20:08.207015+00:00,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,,True,,True
20260814T033139Z,PIG-792,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:24:12.553179+00:00,full_rag,False,full_rag,False,full_rag,False,full_rag,False,full_rag,False
20260814T033139Z,PIG-795,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:18:01.329676+00:00,full_rag,False,full_rag,False,full_rag,False,full_rag,False,full_rag,False
20260814T033139Z,PIG-820,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-14T04:23:25.636358+00:00,,True,full_rag_minus_codebase_summaries,False,,True,,True,full_rag_minus_codebase_summaries,False
20260814T033139Z,PIG-830,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-14T04:20:45.684575+00:00,full_rag_minus_codebase_summaries,False,,True,full_rag_minus_codebase_summaries,False,,True,full_rag_minus_codebase_summaries,False
20260814T033139Z,PIG-832,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-14T04:22:03.816173+00:00,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False
20260814T033139Z,PIG-868,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-14T04:22:39.763537+00:00,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,False,,True,full_rag_minus_codebase_summaries,False
20260814T033139Z,PIG-885,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:24:54.419257+00:00,full_rag,False,,True,full_rag,False,,True,full_rag,False
20260814T033139Z,PIG-893,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag_minus_codebase_summaries,False,full_rag_minus_codebase_summaries,full_rag_minus_codebase_summaries,claude-sonnet-4-6,0.0,2026-08-16T16:15:45.742058+00:00,full_rag_minus_codebase_summaries,False,,True,full_rag_minus_codebase_summaries,False,,True,,True
20260814T033139Z,PIG-907,SQ1,full_rag_minus_codebase_summaries,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-14T04:26:06.407483+00:00,full_rag,False,full_rag,False,full_rag,False,full_rag,False,full_rag,False
20260814T033139Z,PIG-626,SQ1,full_rag_minus_coding_conventions,full_rag,full_rag_minus_coding_conventions,False,full_rag_minus_coding_conventions,full_rag_minus_coding_conventions,claude-sonnet-4-6,0.0,2026-08-14T04:19:21.248033+00:00,full_rag_minus_coding_conventions,False,full_rag_minus_coding_conventions,False,full_rag_minus_coding_conventions,False,full_rag_minus_coding_conventions,False,full_rag_minus_coding_conventions,False
20260814T033139Z,PIG-627,SQ1,full_rag_minus_coding_conventions,full_rag,full_rag,False,full_rag,full_rag,claude-sonnet-4-6,0.0,2026-08-16T16:15:34.610010+00:00,full_rag,False,full_rag,False,full_rag,False,full_rag,False,full_rag,False
